"","Document.ID","Tone","has_substantive_tone","Tone_justify","Tone_quote","Commenter_Role","Specialty","Patient_cost","Patient_quality","Provider_pay","Provider_pay_decrease","Provider_quality","Provider_logistics","Other","Justification","Quote","word_count","Concern_Level","State/Province","Role_category"
"60","FTC-2024-0022-1430","very_negative","1","""negative_word,strong_word,high_frequency""","""Private equity's involvment in healthcare is a direct threat to providing well rounded and complete care to patients.""",NA,NA,"0","1","0",NA,"1","1","""need government regulation""","""Prioritizing the profit could bring detriment to both patient and provider's well-being.""","""When it comes to healthcare, those sacrifices are often the health and well-being of the patients."",""Additionally, this can drastically affect the healthcare providers as well.""",129,"Medium",NA,NA
"61","FTC-2024-0022-1432","neutral","1","""fact_based""","""hat really got us to where we are today is government regulation, Medicare reimbursement to physicians, and health insurance company mergers and concentration and their corresponding clout to increase requirements for payment and decreasing insurer reimbursement to physicians""","attorney",NA,"1","0","0",NA,"1","1","""need government regulation"",""PE is not direct reason""","""Reimbursement rates for doctors have decreased, while insurance premiums have increased.""","""But I think that what really got us to where we are today is government regulation, Medicare reimbursement to physicians, and health insurance company mergers and concentration and their corresponding clout to increase requirements for payment and decreasing insurer reimbursement to physicians""",3,"Medium","DC","other"
"62","FTC-2024-0022-1434","negative","1","""negative_word,punctuation""","""Health insurance is a stress point for everyone I know. The system is broken. ""","cilvil_servant",NA,"1","1","0",NA,"0","0",NA,"""expensive cost of healthcare and less acess for care""","""When my insurance does not cover something (like mental health treatment) I tend to forego."",""because using local urgent cares and pharmacies was prohibitively expensive. """,271,"Medium","NC","other"
"63","FTC-2024-0022-1443","negative","1","""negative_word,punctuation""",""" It is discouraging that we now have health insurance companies such as United Healthcare allowed to own physician groups, pharmacies, and healthcare institutions. ""","provider",NA,"0","1","0",NA,"0","0",NA,""" priorizing profit reduce safe care""","""I write to implore all of you to understand that when profit is the priority, appropriate and safe care of patients is not. """,101,"Low",NA,"provider"
"64","FTC-2024-0022-1451","very_negative","1","""negative_word,strong_word""",""" No company should control 5% of US GDP.  No company should own 90,000 physicians. """,NA,NA,"0","1","1","1","1","1",NA,"""patient lose access to care, providers lose the opportunity for a bette working environment, some providers lose their jobs, thereby in come.""","""As corporate practices continue to buy up independent physician practices, many patients are losing access to care."",""It is only due to restrictive noncompete agreements that many physicians are forced to sign that they do not have the freedom to choose better working conditions."",""This results in the premature retirement of many physicians, and often forces physicians to leave communities that they have served for years, if not decades. """,130,"High",NA,NA
"65","FTC-2024-0022-1499","negative","1","""negative_word,punctuation""","""near-impossible"",""had to beg to be seen."",""Care delayed is often care denied! "",""forced to ""","patient",NA,"0","1","0",NA,"1","1",NA,"""The change of the doctor's workplace, the difficulty in making appointments, and the indication that the quality of patient care has declined also reflect the deterioration of the provider's quality.""","""it has become near-impossible to get an appointment in a reasonable amount of time. "",""Doctor doesn't seem to have the time or desire to spend to drill down into what's going on. """,306,"Medium","NY","patient"
"66","FTC-2024-0022-1533","negative","1","""imperative,punctuation""","""The above three fiduciaries have failed us miserably and betrayed all we hold sacred as a people, when the sick, frightened, and most vulnerable now have a 'silent third party's interest' represented at the bedside of the historically sacrosanct Physician-Patient relationship.  Conflict of interest?""","physician","emergency","0","0","0",NA,"1","0",NA,"""It increases the difficulty for doctors to manage the doctor-patient relationship, which is the only one thing the commenter mentioned""","""  The above three fiduciaries have failed us miserably and betrayed all we hold sacred as a people, when the sick, frightened, and most vulnerable now have a 'silent third party's interest' represented at the bedside of the historically sacrosanct Physician-Patient relationship.  Conflict of interest?  """,117,"Low","TX","provider"
"67","FTC-2024-0022-1534","very_negative","1","""negative_word,capitalization,strong_word,high_frequency""","""Insurance companies are paying outlandish facility fees to hospitals while the professional component fees to the physicians who are actually doing the work are TOO low"",""Surely, it is NOT the patients and NOT the physicians.  """,NA,NA,"1","0","1","1","1","1","""need government regulation""",""" non-negotiate rates bring harm to both provider and patient by higher insureance rates and lower salaries for provider""","""Large health systems are able to negotiate rates with insurance companies, while small groups and solo practitioners have no way of doing this.  THIS IS UNFAIR for both the physicians but also for the patients as this will lead to higher insurance rates."",""Insurance companies are paying outlandish facility fees to hospitals while the professional component fees to the physicians who are actually doing the work are TOO low.""",226,"High",NA,NA
"68","FTC-2024-0022-1539","neutral","1","""fact_based""","""I too was terminated after 25 years of employment at Edina Plastic Surgery Center after Varsity Healthcare Partners bought the practice.""","physician","terminated","0","0","1","1","1","0",NA,"""termination of senior provider bring harm to the working quality and salaries""","""I too was terminated after 25 years of employment at Edina Plastic Surgery Center after Varsity Healthcare Partners bought the practice.",21,"Medium",NA,"provider"
"69","FTC-2024-0022-1617","neutral","1","""fact_based""","""I have a guy at one of the facilities I am at that is will be 51 this month and I am quite sure someone filed him SSI instead of SSDI. HE had several strokes before he was ever a resident and he had a new one about 10 days ago. I had to teach the QRM regional how to send the Medicaid verification off and the DOR cuz neither ever had before and they requested 5 visits from the admin. Those ran out yesterday. So I call the admin and plead my case. Her response was that we have to pay QRM for y'all providing.... I said """"NO Ma'am!"""" We are in house. QRM  has a fee you pay that monthly that has nothing to do what we provide. Not treating this man is a disservice. Then I told her whether she approved it or not I was still gonna see him. Because it IS THE RIGHT THING TO DO. In the 5 days of treatment he had he his coordination improved so much that day 1 it took him 6 minutes to put on his shoes, day 5 it took him under 30 seconds. He was a mod A transfer day 1 and I walked 200ft with him yesterday.""","provider",NA,"1","1","0",NA,"1","1",NA,"""it mentioned the high price and low health care quality""","""I have a guy at one of the facilities I am at that is will be 51 this month and I am quite sure someone filed him SSI instead of SSDI. HE had several strokes before he was ever a resident and he had a new one about 10 days ago. I had to teach the QRM regional how to send the Medicaid verification off and the DOR cuz neither ever had before and they requested 5 visits from the admin. Those ran out yesterday. So I call the admin and plead my case. Her response was that we have to pay QRM for y'all providing.... I said """"NO Ma'am!"""" We are in house. QRM  has a fee you pay that monthly that has nothing to do what we provide. Not treating this man is a disservice. Then I told her whether she approved it or not I was still gonna see him. Because it IS THE RIGHT THING TO DO. In the 5 days of treatment he had he his coordination improved so much that day 1 it took him 6 minutes to put on his shoes, day 5 it took him under 30 seconds. He was a mod A transfer day 1 and I walked 200ft with him yesterday.""",227,"High",NA,"provider"
"70","FTC-2024-0022-1621","negative","1","""negative_word,fact_based""","""There were immediate and negative effects for our clients, clinicians, and administrative staff.""","psychotherapist","terminated","1","1","1","1","1","1",NA,"""the lists under Effects to clients, clinicians . And admin staff claim the concern for cost, healthcare quality, working environment for provider, and pay for provider""",""" The cost of care increased dramatically."",""clients were unable to reach staff by phone to resolve billing issues, request medication refills, get paperwork completed, or request their records. "",""Clinicians lost the ability to control their own calendars, such as blocking time for documentation, self-care, or vacation.  This overworking leads to burnout and inability to provide quality services to clients."",""After the acquisition, there was a complete loss of transparency in payroll.  "","" After the acquisition, the company quickly acquired our competitors as well, and clinicians felt like there were no options for leaving the company.""",756,"Highest","OH","provider"
"71","FTC-2024-0022-1631","very_negative","1","""strong_word,high_frequency""","""Unfortunately, the ones who suffer most are patients."",""""The compounding effect of 4 patients per hour for 12 consecutive hours is insurmountable"",""It is dangerous."",""tremendously""","physician","emergency","0","1","1","1","1","1",NA,"""less diganoisis time on each patient, cannot work for a group that places profit first underscores the concern on the working environment of provider,Resignation bring the directy payment issue for provider,continually expressed underscores those problem is long-existing from PE take over hospital""","""The compounding effect of 4 patients per hour for 12 consecutive hours is insurmountable."",""Twice, I was threatened with termination if I didn’t ‘play ball.’  Perhaps worse than dismissing or punishing me is the way the PE group tried to invalidate my concerns. "",""So, in this environment the work conditions are horrendous and speaking up for patient care is punished."",""Unfortunately, the ones who suffer most are patients. Because as long as PE has a hold on medicine patients will have experiences like mine will have tomorrow.""",75,"High","NY","provider"
"72","FTC-2024-0022-1638","negative","1","""negative_word""","""Blue cross Insurance blamed the hospital""","patient",NA,"1","1","0",NA,"0","0",NA,"""commenter claim the concern on quality and cost of healthcare for patient""","""The deceptive misconduct , use of misleading verbiage has been impacting  my insurance coverage and also has me questioning , if I received  the proper medical treatment necessary"","" I thought this was inconceivable that no one could provide me with proper assistance and tests"","" Now left  with bills and in collection .  Blue cross Insurance blamed the hospital""",443,"Medium",NA,"patient"
"73","FTC-2024-0022-1645","negative","1","""negative_word""",""" My patients are NOT clients of Luminello or Simple Practice. ""","psychotherapist",NA,"0","1","0",NA,"1","1",NA,"""provider works under the pressure and suffer from bad feeling, patient's record are used non propriately""",""" Despite their significant pressure, I chose not to migrate my psychiatric practice records to Simple Practice, but rather to painfully switch to an alternative EHR with a better privacy policy."",""Rather, I am the client, and my protected data is being misused by the new corporate entity.""",151,"Medium",NA,"provider"
"74","FTC-2024-0022-1656","negative","1","""negative_word""","""Private Equity firms, large insurance companies have made working in healthcare extremely unfulfilling with constant pressures to meet unattainable Patient volumes and constant cutting of staff and services with expectation. "",""making it difficult to care""","nurse",NA,"0","1","0",NA,"1","1",NA,"""change of working pattern of provider reduce the care quality and provider work quality """,""" Nursing is no longer about taking care of patients, but rather be able to check enough boxes on a computer screen"","" Large insurance companies that have constant denials on medication that are FDA approved for their condition making it difficult to care for patient in a manner that follows standards of care"",""Private Equity firms, large insurance companies have made working in healthcare extremely unfulfilling with constant pressures to meet unattainable Patient volumes and constant cutting of staff and services with expectation""",90,"Medium","WI","provider"
"75","FTC-2024-0022-1667","very_negative","1","""imperative,negative_word,punctuation""","""Keep private equity out of medicine and housing! """,NA,NA,"0","1","0",NA,"1","1",NA,"""In the comments, the only information available is that the quality of healthcare has declined.“",""" Anyone who has been a patient in or Worked in a clinic being bought by an equity group has seen a noticeable shift to worse results, frustrating non personal system changes and poor outcomes.""",3724,"Medium",NA,NA
"76","FTC-2024-0022-1678","very_negative","1","""negative_word,punctuation,capitalization,high_frequency""","""Healthcare should be a service available to everyone - NOT a way to make a lot of money.""",NA,NA,"0","0","0",NA,"0","0",NA,"""It doesn't articulate the specific harmful effects; it merely expresses anger.""","""This country has lost sight of the purpose of medicine, which is helping the citizens of this country live a healthy life.""",61,"No Concern","AL",NA
"77","FTC-2024-0022-1692","negative","1","""negative_word""","""And this is a sham older people should not be treated this way.""","patient",NA,"1","1","0",NA,"0","0",NA,"""Payments to medical insurance take up a large proportion of income. No dental coverage and have to pay for is out of own pocket emphasize the low quality of healthcare""","""My payments deductions and supplemental insurance cost me almost one third of my income""",261,"Medium",NA,"patient"
"78","FTC-2024-0022-1703","positve","1","""supportive""","""private equity can increase access to medical care by increasing efficiency; to deem all private equity as “bad for medicine” would be too broad""",NA,NA,"0","0","0",NA,"0","0",NA,"""defense of private equity, suggesting that its role in the system may be misunderstood""","""private equity can increase access to medical care by increasing efficiency; to deem all private equity as “bad for medicine” would be too broad""",3,"No Concern","NJ",NA
"79","FTC-2024-0022-1870","negative","1","""negative_word""",""" negative impacts""","organization","labor_union","1","1","1","1","1","1","""need government regulation""","""Employers have to pay high health insurance premiums for their employees, which can reduce employees’ wages. It reduce the quality of healthcare for patient. It increase the working pressure for provider ""","""dollars that are required to fund employer-sponsored health plans are not available for other forms of compensation, whether they be wages, retirement contributions or other benefits."","" Despite their rhetoric at the time of a transaction, private equity managers are willing to strip safety net hospitals of assets, close service lines and funnel dividends to ownership, while quality of care and working conditions suffer"",""In turn, these cuts increase workloads for remaining staff. It is this vicious cycle that pushes many committed workers out of the industry in search of better working conditions."",""Workers, patients and communities suffer when highly consolidated health care entities inflate prices and suppress worker compensation. PE involvement in the health sector adds a new layer of concerns as they cut service lines and impose drastic changes driven by short-term profit maximization above all else.""",1,"Highest",NA,"other"
"80","FTC-2024-0022-1872","negative","1","""negative_word""","""Now everything is hurried"",""During my hospital stay they made a very serious mistake in my care and when i told them about it afterward they just passed it off ""","patient","kidney transplant recipient","1","1","0",NA,"1","0",NA,""" the negative change in patient's care experience implies the detriment to healthcare quality""","""And when I do have issues they just seem to not want to find a solution"",""i have noticed a big change in my care. My doctors office used to be genuinely interested in me"",""During my hospital stay they made a very serious mistake in my care and when i told them about it afterward they just passed it off """,274,"High","FL","patient"
"81","FTC-2024-0022-1881","negative","1","""negative_word""",""" So many others have worrying symptoms that they can't bring themselves to seek treatment for because they wouldn't be able to afford the crippling debt.""",NA,NA,"1","1","0",NA,"0","0",NA,""" high price increase the healthcare cost for patient and prevent patients from seeking medical care.""",""" So many others have worrying symptoms that they can't bring themselves to seek treatment for because they wouldn't be able to afford the crippling debt.""",56,"Medium",NA,NA
"82","FTC-2024-0022-1882","negative","1","""negative_word""","""Unfortunately, the poor and elderly are suffering the most from the egregious underpayments from almost all Medicare drug plans.""","pharmacist",NA,"1","1","0",NA,"1","0",NA,""" PE bring the cost issue for patient""","""Unfortunately, the poor and elderly are suffering the most from the egregious underpayments from almost all Medicare drug plans.""",125,"High","MS","provider"
"83","FTC-2024-0022-1907","very_negative","0","""negative_word,strong_word,punctuation,high_frequency""","""Medicine is a mess"",""Action needs to be taken."",""Investigations need to occur  Immediately!""",NA,NA,"1","1","0",NA,"0","0","""need government regulation""","""Lost live and price gouging underscores the high healthcare price and low healthcare quality""",""" Corporate Medicine needs to be held responsible for lost lives and price gouging as well as racketeering.""",34,"Medium",NA,NA
"84","FTC-2024-0022-1916","negative","1","""negative_word""","""Consolidation has negatively affected virtually all areas of medical care in this area.  ""","patient",NA,"1","1","0",NA,"1","0",NA,"""fewer pharmacies and emergencyrooms underscores both worse workinig situation for provider andd lower healthcare quality for patient""","""There are fewer pharmacies now than a decade ago and of those only a few pharmacies that offer full-service and that have all of the medications I need in stock whenever I need a refill""",259,"High","OR","patient"
"85","FTC-2024-0022-1920","very_negative","1","""negative_word,strong_word,high_frequency""","""people here have to leave this area for safe care , too many people here are dying. "",""was a nightmare I was afraid to sleep and never left his side""","patient",NA,"0","1","0",NA,"1","0","""need government regulation""","""monopoly cause the detriment of healthcare quality for patient and working environment for provider""","""Tennessee has lost control of this mess ballad has made with our healthcare. quality of care has become extremely poor and even dangerous in many cases ."",""Ballad has gutted services, equipment, and keeps dangerous low levels of nurses"",""Something needs to be done, this monopoly should have never been allowed to happen, they don't even meet their requirements and it has ruined the quality of care and we have no competition no where else to go in this region. Good experienced doctors and nurses have and are leaving this system constantly."",""he had a few good nurses but they were stressed and regularly would have to go looking for items they should have had in the IUC , this Cardiac IUC was under staffed and gutted old and broken ."",""Good experienced doctors and nurses have and are leaving this system constantly.""",655,"Medium","TN","patient"
"86","FTC-2024-0022-1928","negative","1","""negative_word,high_frequency""",""" just dont care.""",NA,NA,"0","1","0",NA,"0","0",NA,"""less choice is the only information from comment""","""The 3 big Insurance carriers are forcing patients to go to their pharmacies while Texas law clearly states that patients have free choice. But the 3 insurance companies which control 80-85% of covered lives just dont care.""",37,"Low","TX",NA
"87","FTC-2024-0022-1929","negative","1","""negative_word""","""Aetna insurance's awful communication"",""One person notifies my office that a prior auth is NOT necessary and then another person says actually it is necessary! "",","physician","rheumatology","0","1","0",NA,"1","1",NA,"""prior authorization is bad for patient's safety and provider's well-being""","""As it is , prior authorizations are a major burden upon healthcare workers and healthcare systems at the expense of patient safety and physician well"",""It is well-known that US physicians spend more time on administrative work than physicians in any healthcare system in the world.""",404,"Medium","VA","provider"
"88","FTC-2024-0022-1947","neutral","1","""fact_based""","""Some medications are very temperature sensitive. It is important to allow people the opportunity to fill these prescriptions at a local pharmacy.""","provider",NA,"0","1","0",NA,"0","0",NA,"""Calling for a solution to the medication access issue implicitly highlights the low-quality healthcare that patients are currently experiencing.“","""It is important to allow people the opportunity to fill these prescriptions at a local pharmacy.""",22,"Low","VA","provider"
"89","FTC-2024-0022-1965","very_negative","1","""imperative,strong_word,high_frequency""","""strongly support"",""Agree with the AMA that in order to neutralize the environment for independent physicians competing in consolidated markets""","physician",NA,"1","1","0",NA,"1","1",NA,"""these appeals suggest that elements such as affordable care, high-quality treatment, greater choice for patients, and more flexibility or control for physicians are currently insufficient or lacking in the healthcare system.""","Strongly support competition in all health care markets to prevent harm to patients and physicians and to provide patients with more choices while improving care and lowering the costs of that care.",66,"High",NA,"provider"
"90","FTC-2024-0022-2009","very_negative","1","""negative_word,strong_word,punctuation,high_frequency""","""This is so aggravating, the general public having to fight for basic care! "","" What is there to debate?"",""The power of big money is scary."",""Shame more of it isn't used to benefit mankind in general"" ,""Shame on those resisting to take care of something as   fundamental as not over heating""",NA,NA,"0","1","0",NA,"0","0",NA,"""The bigges issue is care for user""","""First issue is user safety (forcing mail order prescriptions). "",",143,"Low",NA,NA
"91","FTC-2024-0022-2010","negative","1","""negative_word""","""Corporate greed is destroying the medical field.""","physician",NA,"0","1","1","1","1","0",NA,""" the third sentence claim the negative effect on healthcare quality, provider pay. A call for providers to leave the current exploitative environment implies that their working conditions are poor and unsustainable.“","""Meanwhile, they reduce nursing pay, stagnate physician pay, cut employee benefits and eliminate essential patient care resources""",114,"High",NA,"provider"
"92","FTC-2024-0022-2028","neutral","1","""fact_based""","""Increasedconsolidation and anticompetitive conduct are primary drivers of high health care prices for purchasers like us and more importantly, are a key factors in rising out-of-pocket costs for patients""","organization","ngo","1","1","0",NA,"0","0",NA,"""the healthcare price is high for patient, there is not enough choice for patient""","""Unfortunately, data shows many states, including California, have highly concentrated


provider markets that can make it difficult for purchasers to negotiate on their own"",""we have seen firsthand the impact that highly concentrated health care markets can


have on health care prices"",""Increasedconsolidation and anticompetitive conduct are primary drivers of high health care prices for purchasers like us and more importantly, are a key factors in rising out-of-pocket costs for patients"",""Further, research shows that hospital prices typically rise following a private equity


acquisition with little change in quality or outcomes""",3,"Medium",NA,"other"
"93","FTC-2024-0022-2041","very_negative","1","""negative_word,strong_word,high_frequency""","""strongly support"",""Agree with the AMA that in order to neutralize the environment for independent physicians competing in consolidated markets""","cilvil_servant",NA,"1","1","1","1","1","1","""need government regulation""","""commenter focus on claim the concern about healthcare quality and price""","""My colleagues and I are eager to work with you on legislation to provide additional resources or authorities to protect patients and preserve the availability of quality, affordable care.""",6,"Highest",NA,"other"
"94","FTC-2024-0022-2050","negative","1","""negative_word""","""The consolidation in health care is adversely affecting patients.""","pharmacist",NA,"1","1","0",NA,"1","1",NA,"""PE bring the consolidation/ integration which control the provider and patient's choice""","""Limiting competition and patient choice"",""""",103,"High",NA,"provider"
"95","FTC-2024-0022-2065","negative","1","""negative_word""","""drastically reduce ""","patient","CFO","1","1","1","1","1","1",NA,""" commenter point out the high healthcare cost and low healthcare quality for patient and bad work environment and low salaried for providers""","""which will reduce access to care and lead to higher long-term costs in the U.S. health system, while unfairly punishing physicians who have chosen to start and build private practices.""",3,"Highest","MI","patient"
"96","FTC-2024-0022-2089","negative","1","""imperative""","""Please stop corporate monopolies in medicine.""",NA,NA,"1","1","0",NA,"0","0",NA,"""PE reduce competition, which is essence of quality and affordability""","""Competition is the essence of quality and affordability""",14,"Medium",NA,NA
"97","FTC-2024-0022-2091","very_negative","1","""negative_word,strong_word,high_frequency""","""I urge the Department of Justice, DHHS and FTC to limit the consolidation of health care delivery and the encroachment of private equity in the health care sphere."","" I have received services from several providers that were bought out by private equity firms and subsequently experienced marked decreases in service quality and responsiveness to patient needs.""","patient",NA,"0","1","1","1","1","0",NA,""" point out the high-frequency complaint about low healthcare quality, higher resident-to-staff ratio emphasize the worse working situation of provider, stagnant staff pay emphasizes the low salaries for provider""",""" I have received services from several providers that were bought out by private equity firms and subsequently experienced marked decreases in service quality and responsiveness to patient needs.""",118,"High","MD","patient"
"98","FTC-2024-0022-2109","negative","1","""negative_word""","""Unfortunately,""","organization","ngo","1","1","0",NA,"0","0",NA,""" the quote sentences point out the high healthcare cost and low healthcare quality for patient and bad work environment and low salaried for providers""","""(a) identify their highest cost drivers, b) steer enrollees toward high-quality care that is available at a lower price, (c) reward health care providers that are doing a good job by aligning payment incentives


toward the delivery of high value care, and (d) help their employees and family members make informed decisions about their options for health care. Unfortunately, the opacity and perverse incentives that currently exist within the US health system has made this journey difficult, and significant changes are needed before the American health care system is truly a free market.""",4,"Medium",NA,"other"
"99","FTC-2024-0022-2111","neutral","1","""fact_based""","""it is also a bad ""","organization","coalition","1","1","1","1","1","1","""need government regulation""","""Prioritizing the profit bring detriment healthcare quality for patient, cost of healthcare,  working environment and salaried of provider""",""" Regarding higher costs, there is significant evidence that private equity acquisitions of healthcare providers result in higher prices without any evidence of an increase in quality or access to care. "",""n our experience, aggressive cuts in staff-to-patient ratios result in decreased quality of and access to care for patients. Furthermore, they result in job losses and increase stress for healthcare sector workers, contributing to burnout, among other negative impacts. """,3,"Highest",NA,"other"
"100","FTC-2024-0022-2139","very_negative","1","""negative_word,high_frequency""","""It's time the government stopped allowing the   corporate practice of medicine""","physician","emergency","0","1","0",NA,"1","0","""need government regulation""","""The viewpoint expressed implies a lack of exactly what is being advocated for in the current situation.""",""".Look at other rural communities losing their local hospitals due to PE greed""",914,"Medium",NA,"provider"
